===== SIGNATURE SPEED TEST =====
Configuration info
==================
Target platform:  x86_64-Linux-6.14.0-37-generic
Compiler:         gcc (13.3.0)
Compile options:  [-Wa,--noexecstack;-O3;-fomit-frame-pointer;-fdata-sections;-ffunction-sections;-Wl,--gc-sections;-Wbad-function-cast]
OQS version:      0.15.0 (major: 0, minor: 15, patch: 0)
Git commit:       589731b0c947d73b3d6fc72bcd4e3b6e0ec0bf4e
OpenSSL enabled:  Yes (OpenSSL 3.0.13 30 Jan 2024)
AES:              NI
SHA-2:            OpenSSL
SHA-3:            AVX2
OQS build flags:  OQS_DIST_BUILD OQS_LIBJADE_BUILD OQS_OPT_TARGET=generic CMAKE_BUILD_TYPE=Release 
CPU exts active:  ADX AES AVX AVX2 BMI1 BMI2 PCLMULQDQ POPCNT SSE SSE2 SSE3
Speed test
==========
Started at 2025-12-26 10:50:40
Operation                            | Iterations | Total time (s) | Time (us): mean | pop. stdev | CPU cycles: mean          | pop. stdev
sign                                 |          4 |          3.490 |      872517.750 |   2059.906 |                2785051092 |    6573692
verify                               |       4110 |          3.000 |         730.002 |     25.457 |                   2330079 |      81263
SLH_DSA_PURE_SHA2_192F               |            |                |                 |            |                           |           
keypair                              |       2064 |          3.000 |        1453.654 |     42.839 |                   4639945 |     136686
sign                                 |         77 |          3.000 |       38962.779 |    801.995 |                 124367799 |    2559849
verify                               |       1472 |          3.001 |        2038.957 |     53.180 |                   6508191 |     169761
SLH_DSA_PURE_SHA2_256S               |            |                |                 |            |                           |           
keypair                              |         50 |          3.058 |       61165.260 |   1054.232 |                 195237583 |    3364951
sign                                 |          4 |          3.099 |      774651.000 |   2370.133 |                2472663175 |    7564726
verify                               |       2890 |          3.000 |        1038.199 |     32.543 |                   3313810 |     103810
SLH_DSA_PURE_SHA2_256F               |            |                |                 |            |                           |           
keypair                              |        791 |          3.004 |        3797.369 |     79.719 |                  12121013 |     254490
sign                                 |         39 |          3.059 |       78445.077 |    664.099 |                 250394315 |    2119645
verify                               |       1383 |          3.002 |        2170.307 |     58.083 |                   6927497 |     185386
SLH_DSA_PURE_SHAKE_128S              |            |                |                 |            |                           |           
keypair                              |         27 |          3.094 |      114591.222 |   6159.564 |                 365771498 |   19661359
sign                                 |          4 |          3.466 |      866503.000 |   2167.290 |                2765851924 |    6916896
verify                               |       3482 |          3.000 |         861.663 |     28.867 |                   2750346 |      92148
SLH_DSA_PURE_SHAKE_128F              |            |                |                 |            |                           |           
keypair                              |       1694 |          3.001 |        1771.316 |     45.778 |                   5653906 |     146021
sign                                 |         73 |          3.040 |       41645.603 |    375.510 |                 132931319 |    1198352
verify                               |       1180 |          3.000 |        2542.751 |     60.344 |                   8116331 |     192599
SLH_DSA_PURE_SHAKE_192S              |            |                |                 |            |                           |           
keypair                              |         19 |          3.157 |      166181.474 |    905.293 |                 530446226 |    2889928
sign                                 |          2 |          3.130 |     1564821.500 |  28212.500 |                 699898408 |   90052670
verify                               |       2430 |          3.001 |        1234.840 |     37.427 |                   3941506 |     119457
SLH_DSA_PURE_SHAKE_192F              |            |                |                 |            |                           |           
keypair                              |       1153 |          3.001 |        2602.521 |     69.621 |                   8307109 |     222244
sign                                 |         44 |          3.004 |       68280.614 |    688.133 |                 217949458 |    2196394
verify                               |        831 |          3.001 |        3611.454 |     79.128 |                  11527579 |     252574
SLH_DSA_PURE_SHAKE_256S              |            |                |                 |            |                           |           
keypair                              |         28 |          3.096 |      110562.429 |    995.015 |                 352911986 |    3176294
sign                                 |          3 |          4.160 |     1386767.667 |   3799.215 |                 131554394 |   12128073
verify                               |       1714 |          3.000 |        1750.383 |     51.432 |                   5587119 |     164140
SLH_DSA_PURE_SHAKE_256F              |            |                |                 |            |                           |           
